_id,episodeTitle,eventsNum,rssLifeExpectancy,fetchStatus,rssRegDate,day
575097ac5adbaba449e5d5bc,House Speaker Paul Ryan: 'I'll be voting for' Trump,0,0,6,2016-06-02T23:31:32.115,6
57509e5a5adbaba449e5d680,The Latest: Hillary Clinton defends nuclear deal with Iran,278,2222,6,2016-06-03T00:00:00.959,6
5750a2cf5adbaba449e5d695,Air Force jet crashes after flyover at Colorado Obama speech,0,0,6,2016-06-03T00:19:01.961,6
5750a75a5adbaba449e5d6c4,"Tribune board elected, in possible blow to Gannett bid",0,0,6,2016-06-03T00:38:33.625,6
5750b0945adbaba449e5dc87,"Navy Blue Angels fighter jet crashes near Nashville, Tenn.",0,0,6,2016-06-03T01:17:52.565,6
5750b0945adbaba449e5dc88,The Latest: Father of slaying victim attacks killer in court,0,0,6,2016-06-03T01:17:53.693,6
5750bde65adbaba449e5e042,No criminal charges after boarding school sex investigation,0,0,6,2016-06-03T02:14:45.311,6
5750c4aa5adbaba449e5e4c6,"3 Fort Hood soldiers dead, 6 missing after Army truck overturns in flooding Read Story Associated Press",0,0,6,2016-06-03T02:43:36.448,6
5750c9325adbaba449e5e4d6,The Latest: US official: Blue Angels pilot did not eject,0,0,6,2016-06-03T03:02:48.839,6
5750dfde5adbaba449e5ec5f,"Ex-hospice head pleads guilty to Medicare, Medicaid fraud",0,0,6,2016-06-03T04:39:42.148,6
5750e2185adbaba449e5ed40,Japanese boy who went missing in forest found,0,0,6,2016-06-03T04:49:08.286,6
5750f44f5adbaba449e5f449,NBA Finals live blog: Warriors leading Cavs 49-41 in second quarter,159,1241,6,2016-06-03T06:06:54.811,6
5750f68b5adbaba449e5f87a,Kyrgios withdraws from Olympic consideration for Australia,0,0,6,2016-06-03T06:16:27.985,6
5750f8c55adbaba449e5f8cf,Amnesty tells EU to halt 'illegal' refugee returns to Turkey,0,0,6,2016-06-03T06:25:54.905,6
575101c35adbaba449e5fa48,Inverted Jenny stamp stolen in 1955 is returned to owner,0,0,6,2016-06-03T07:04:19.167,6
5751188c5adbaba449e601ba,"Protesters punch, throw eggs at Trump supporters in San Jose",112,1449,6,2016-06-03T08:41:32.962,6
57512d0c5adbaba449e60910,"Wal-Mart testing Uber, Lyft for online grocery delivery",0,0,6,2016-06-03T10:09:00.201,6
57513d1d5adbaba449e60f3c,"Asian shares mixed pending US jobs report, Fed decision",0,0,6,2016-06-03T11:17:33.459,6
57514a965adbaba449e61461,Greece: rescue under way for migrant boat south of Crete,146,1018,6,2016-06-03T12:14:57.831,6
57514f105adbaba449e615c7,Diplomats try to revive Mideast peace process in Paris,100,1287,6,2016-06-03T12:34:07.052,6
5751618a5adbaba449e61e8f,Iran's top leader rules out cooperation with US against IS,0,0,6,2016-06-03T13:52:37.466,6
575175a15adbaba449e62566,Aston Villa confirm Roberto Di Matteo as new manager,0,0,6,2016-06-03T15:18:31.834,6
57517e695adbaba449e62755,WFP to pursue Damascus permission for air drops in Syria,0,0,6,2016-06-03T15:56:04.288,6
575187375adbaba449e62d76,Swiss police raid FIFA headquarters as probe continues,138,1547,6,2016-06-03T16:33:42.537,6
57518df65adbaba449e62e73,"US gains just 38K jobs, fewest in 5 years; rate at 4.7 pct.",46,776,6,2016-06-03T17:02:23.209,6
57518df65adbaba449e62e77,US trade deficit increases 5.3 percent to $37.4 billion,0,0,6,2016-06-03T17:02:30.658,6
575194985adbaba449e62f2d,The Latest: Garbine Muguruza into French Open final,0,0,6,2016-06-03T17:30:48.936,6
5751a6865adbaba449e63894,Is Wal-Mart's multi-front fight enough? Shareholders meet,0,0,6,2016-06-03T18:47:18.807,6
5751b3d75adbaba449e63c75,Olympic refugee team to be ‚??symbol of hope‚?? in Rio,0,0,6,2016-06-03T19:44:07.222,6
5751c1615adbaba449e63e65,The Latest: Chicago releases 300 videos of officer incidents,0,0,6,2016-06-03T20:41:49.519,6
5751c1615adbaba449e63e68,The Latest: Murray to face Djokovic in French Open final,0,0,6,2016-06-03T20:41:53.953,6
5751c81a5adbaba449e642eb,Man says he lunged at daughter's killer in court over smile,44,1014,6,2016-06-03T21:10:31.815,6
5751c81a5adbaba449e642ed,"Investigators pore over Idaho wreck that killed mom, 3 kids",0,0,6,2016-06-03T21:10:34.422,6
5751d3525adbaba449e645ca,UN: Experts being asked to examine Zika risk at Rio games,0,0,6,2016-06-03T21:58:23.103,6
5751dc4d5adbaba449e64cad,Fed member Brainard urges caution on raising rates,13,375,6,2016-06-03T22:36:44.207,6
5751e0aa5adbaba449e64cbd,The Latest: Rights group criticizes EU-Turkey migrant deal,9,192,6,2016-06-03T22:55:14.862,6
5751e0aa5adbaba449e64cbe,3 guilty of conspiracy to commit murder abroad in IS case,0,0,6,2016-06-03T22:55:16.283,6
5751e0aa5adbaba449e64cc1,Trudeau unhappy after reporter berated by Chinese FM,0,0,6,2016-06-03T22:55:21.429,6
5751ee125adbaba449e652ab,Michelle Obama gives commencement speech in New York City,28,271,6,2016-06-03T23:52:33.127,6
5751ee125adbaba449e652ac,The Latest: No bond reduction in Smith slaying,12,615,6,2016-06-03T23:52:34.250,6
5751f4cc5adbaba449e65383,Ryan rips Trump comments on Mexican judge after endorsement,96,1141,6,2016-06-04T00:21:09.322,6
5751f4cc5adbaba449e65387,Kerry: Doctoring of State Dept video 'stupid and clumsy',0,0,6,2016-06-04T00:21:14.089,6
5751f7075adbaba449e654ed,Judge: US women's soccer team bound by no-strike clause,0,0,6,2016-06-04T00:30:45.867,6
5752020a5adbaba449e656e9,"Oregon train derailment spills oil, sparks fire",73,713,6,2016-06-04T01:17:44.939,6
575204465adbaba449e658db,Nest CEO flies coop 2 years after $3.2B sale to Google,32,429,6,2016-06-04T01:27:18.084,6
575208a35adbaba449e65c89,Clinton hopes to clinch nomination by Tuesday,31,868,6,2016-06-04T01:45:52.988,6
57520f345adbaba449e65e16,Obama cuts prison sentences for 42 drug offenders,16,515,6,2016-06-04T02:13:56.773,6
57521a275adbaba449e66030,Trump praises to ‚??my African American‚?? supporter at rally,34,396,6,2016-06-04T03:00:36.891,6
5752230a5adbaba449e66187,Woman found guilty of wrapping dog‚??s mouth with duct tape,0,0,6,2016-06-04T03:38:34.234,6
575225435adbaba449e6623a,Trump defends criticism of judge with Mexican heritage,0,0,6,2016-06-04T03:47:59.799,6
